Statuary_service_1_April_2010,statutory_service_on_1_July_2016,Did_the_new_building_replace_an_existing_library: Yes/No
yes,yes,
yes,No,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,Yes
no,yes,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,Yes
yes,No,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
Yes,No,
yes,yes,Yes
yes,No,
yes,yes,Yes
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,No
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,No
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,no,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,No,
No,Yes,Yes
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,No,
No,Yes,Yes
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,No,
No,Yes,Yes
yes,yes,
yes,Yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
no,yes,
yes,yes,Yes
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,
No,yes,Yes
yes,yes,
yes,no,
yes,no,
no,yes,Yes
yes,no,
Yes,no,
yes,no,
yes,no,
yes,yes,
yes,no,
no,yes,Yes
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,Yes
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,No,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
no,yes,Yes
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,Yes
yes,no,
yes,yes,
Yes,No,
Yes,No,
Yes,Yes,
Yes,Yes,
Yes,Yes,
Yes,No,
Yes,No,
Yes,Yes,
Yes,yes,
Yes,No,
Yes,No,
yes,Yes,
yes,Yes,
Yes,No,
Yes,no,
Yes,Yes,
Yes,No,
Yes,No,
Yes,Yes,
Yes,Yes,
Yes,No,
Yes,No,
Yes,Yes,
Yes,No,
Yes,No,
Yes,No,
Yes,No,
Yes,No,
Yes,Yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,Yes,Yes
yes,no,
No,No,No
Yes,Yes,
No,No,No
Yes,Yes,
No,Yes,Yes
No,No,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,No,
yes,No,
yes,yes,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,No,
yes,No,Yes
yes,no,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,yes,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,yes,Yes
yes,yes,
yes,yes,
yes,no,
no,yes,yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,Yes
yes,yes,
No,No,
No,No,
yes,yes,
No,No,
Yes,no,
yes,yes,
yes,no,
No,No,
yes,no,
Yes,no,
yes,yes,
yes,yes,
No,No,
No,No,
yes,yes,
No,No,
Yes,No,
No,No,
yes,yes,
No,No,
No,No,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,No
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
Yes,No,
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
no,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,No,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,No,
yes,No,
yes,yes,
yes,no,
no,yes,Yes
yes,No,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,yes 
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,yes,Yes
yes,no,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
no,yes,Yes
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,"Yes - reloation to neighbouring building now mixed use incorporating Town Council, museum and community partners"
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes - replacement building on site of old one as part of mixed development including community facilities and extra care housing
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
no,yes,"Yes, replaced Hindley library on Market Street"
yes,yes,
yes,no,
no,yes,"Yes, replaced Ince libary on Smith Green"
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,Yes
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,no
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,relocated to Arborfield Pop-up
no,yes,yes - currently a small pop up library in a pre-existing local community building - relocation of Arborfiled Container Library
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
Yes,No,
No,yes,"Yes - replaced by new Ashmore Park Library, part of The Hub at Ashmore Park"
yes,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,No,
yes,yes,"Yes, replaced by new Wednesdfield Library, part of Wednesfield Community Hub"
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,"yes, replaced Bromsgrove library"
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,"yes, replaced Stourport-on-Severn Library"
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
no,yes,"yes, replaced Worcester library"
yes,no,
yes,yes,"yes, replaced Wythall library"
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,Yes,
yes,yes,
yes,yes,
yes,yes,
No,Yes,No
yes,yes,
no,yes,
yes,yes,
yes,yes,
